ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code
NOCODE_Apolista,Apolista,,-14.83,-68.66,apol1242,
NOCODE_Maipure,Maipure,,4.8,-67.5,maip1246,
aca,Achagua,,4.38649,-72.2005,acha1250,aca
acu,Achuar-Shiwiar,,-2.826455,-77.26405,achu1248,acu
agr,Aguaruna,,-5.30044,-77.92179,agua1253,agr
ame,Yanesha',,-10.54539,-75.31497,yane1238,ame
amr,Amarakaeri,,-12.49308,-70.55333,amar1274,amr
apu,Apurinã,,-8.21692,-66.77141,apur1254,apu
apy,Apalaí,,1.49792,-54.7457,apal1257,apy
arh,Arhuaco,,10.70184,-73.63629,arhu1242,arh
arl,Arabela,,-1.96126,-75.06117,arab1268,arl
arn,Mapudungun,,-38.73917,-71.27701,mapu1245,arn
arr,Karo (Brazil),,-10.33424,-61.56908,karo1305,arr
arw,Lokono,,5.6429525,-56.924345,araw1276,arw
auc,Waorani,,-1.12312,-76.68295,waor1240,auc
awe,Awetí,,-12.93358,-53.58519,awet1244,awe
ayc,Southern Aymara,,-17.14171,-70.34424,sout2996,ayc
ayo,Ayoreo,,-19.220055,-60.217495,ayor1240,ayo
ayr,Central Aymara,,-17,-68.5,cent2142,ayr
bae,Baré,,1.91649,-66.82799,bare1276,bae
boa,Bora,,-2.91467,-68.90929,bora1263,boa
bor,Bororo,,-16.60295,-55.20043,boro1282,bor
brg,Baure,,-13.12775,-64.18381,baur1253,brg
bvv,Baniva,,5.26123,-67.56327,bani1254,bvv
cab,Garifuna,,15.3528675,-86.9090575,gari1256,cab
cap,Chipaya,,-18.73951,-67.89633,chip1262,cap
cas,Mosetén,,-14.64448,-67.83756,mose1249,cas
cav,Cavineña,,-13.35441,-66.62773,cavi1250,cav
caw,Callawalla,,-15.88451,-68.10176,call1235,caw
cbg,Chimila,,10.19016,-74.25585,chim1309,cbg
cbr,Cashibo-Cacataibo,,-8.70232,-75.42062,cash1251,cbr
cbt,Shawi,,-5.63764,-76.82525,chay1248,cbt
ccc,Chamicuro,,-5.1149,-75.67785,cham1318,ccc
ceg,Chamacoco,,-20.58988,-58.20047,cham1315,ceg
cht,Cholón,,-9.23129,-75.96211,chol1284,cht
cni,Asháninka,,-11.93109,-73.90728,asha1243,cni
cod,Cocama-Cocamilla,,-4.5,-74,coca1259,cod
cof,Tsafiki,,-0.21181,-79.23468,colo1256,cof
con,Cofán,,0.276675,-77.064305,cofa1242,con
cox,Nanti,,-12.10185,-72.35066,nant1250,cox
crb,Island Carib,,14.290585,-61.239505,isla1278,crb
cub,Cubeo,,1.32382,-70.193935,cube1242,cub
cuj,Mashco Piro,,-11.47453,-70.79527,mash1270,cuj
cuk,San Blas Kuna,,9.15686,-78.3075,sanb1242,cuk
des,Desano,,0.58157,-69.495545,desa1247,des
eme,Emerillon,,3.23694,-52.36986,emer1243,eme
emp,Northern Emberá,,7.12761,-77.57396,nort2972,emp
ese,Ese Ejja,,-11.72683,-67.51496,esee1248,ese
gae,Guarequena,,1.80835,-66.922505,guar1293,gae
gqn,Guana (Brazil),,-19.16665,-54.03332,guan1270,gqn
gta,Guató,,-17.86961,-57.28974,guat1253,gta
guc,Wayuu,,10.22515,-71.81012,wayu1243,guc
gvo,Gavião Do Jiparaná,,-10.7235,-61.67521,gavi1246,gvo
gym,Ngäbere,,8.825105,-82.391125,ngab1239,gym
hix,Hixkaryána,,-0.16265,-58.80153,hixk1239,hix
ign,Ignaciano,,-15.11882,-65.39934,igna1246,ign
inb,Inga,,1.00313,-76.86062,inga1252,inb
inp,Iñapari,,-12.46525,-69.30827,inap1243,inp
iqu,Iquito,,-3.31233,-73.97046,iqui1243,iqu
ito,Itonama,,-12.80431,-64.35748,iton1250,ito
jaa,Jamamadí,,-7.62223,-66.56619,jama1261,jaa
jic,Tol,,14.66859,-87.03719,toll1241,jic
jiv,Shuar,,-3.45136,-78.18923,shua1257,jiv
jqr,Jaqaru,,-12.88233,-75.89576,jaqa1244,jqr
jup,Hupdë,,0.58622,-69.835915,hupd1244,jup
jur,Jurúna,,-10.93541,-53.34717,juru1256,jur
kay,Kamayurá,,-12.26606,-53.46514,kama1373,kay
kbc,Kadiwéu,,-19.72224,-57.58202,kadi1248,kbc
kgp,Kaingang,,-27.76708,-52.53937,kain1272,kgp
knm,Katukína-Kanamarí,,-6.45399,-68.7678,kana1291,knm
kpc,Curripaco,,0.69618,-67.50277,curr1243,kpc
ktn,Karitiâna,,-9.37937,-64.15219,kari1311,ktn
kwa,Dâw,,-0.1177,-67.29341,daww1239,kwa
kwi,Awa-Cuaiquer,,1.216525,-78.340135,awac1239,kwi
kxo,Kanoê,,-12.17894,-64.58121,kano1245,kxo
lao,Lao,,16.07262,104.56848,laoo1244,lao
lec,Leco,,-15.00921,-67.88181,leco1242,lec
lkd,Lakondê,,-13.2,-60.5,lako1248,lkd
mav,Sateré-Mawé,,-3.63897,-56.87489,sate1243,mav
mbp,Malayo,,10.92861,-73.40561,mala1522,mbp
mca,Maca,,-25.01186,-57.36935,maca1260,mca
mcb,Machiguenga,,-12.12905,-72.50171,mach1267,mcb
mcf,Matsés,,-5.739145,-72.628105,mats1244,mcf
miq,Mískito,,15.157575,-84.294175,misk1235,miq
mmh,Mehináku,,-12.53639,-53.52095,mehi1240,mmh
moc,Mocoví,,-28.09699,-60.41448,moco1246,moc
mpu,Makuráp,,-11.87014,-64.32007,maku1278,mpu
mtp,Wichí Lhamtés Nocten,,-21.987995,-63.59711,wich1262,mtp
myr,Muniche,,-5.80546,-76.28113,muni1258,myr
myu,Mundurukú,,-8.41095,-57.69099,mund1330,myu
mzp,Movima,,-13.81152,-65.63482,movi1243,mzp
not,Nomatsiguenga,,-11.53487,-74.43713,noma1263,not
omc,Mochica,,-8.01666666667,-79,moch1259,omc
ona,Selk'nam,,-54,-68.5,onaa1245,ona
pab,Parecís,,-14.59295,-57.40595,pare1272,pab
pap,Papiamento,,12.48485,-69.93988,papi1253,pap
pav,Wari,,-10.69948,-64.56152,wari1268,pav
pay,Pech,,15.80331,-85.55802,pech1241,pay
pbb,Páez,,2.61516,-76.31254,paez1247,pbb
pbh,Panare,,6.95035,-65.84825,enap1235,pbh
pio,Piapoco,,4.37718,-68.595285,piap1246,pio
plg,Pilagá,,-25.00585,-60.15372,pila1245,plg
plu,Palikúr,,3.63993,-51.62465,pali1279,plu
pnk,Paunaca,,-16.770833,-61.454167,paun1241,pnk
prq,Ashéninka Perené,,-10.97772,-74.91528,ashe1272,prq
pue,Puelche,,-36.63757,-62.94127,puel1244,pue
pui,Puinave,,3.92974,-67.6886,puin1248,pui
qub,Huallaga Huánuco Quechua,,-9.57135,-75.59401,hual1241,qub
quh,South Bolivian Quechua,,-20.920095,-66.333145,sout2991,quh
qup,Southern Pastaza Quechua,,-3.32733,-76.52697,sout2990,qup
qus,Santiago del Estero Quichua,,-27.82096,-63.24657,sant1432,qus
quw,Tena Lowland Quichua,,-0.76271,-77.54039,tena1240,quw
qux,Huangascar-Topara-Yauyos Quechua,,-13.11443,-75.76589,yauy1235,qux
quy,Ayacucho Quechua,,-13.84714,-74.32246,ayac1239,quy
quz,Cusco Quechua,,-14.08527,-71.76625,cusc1236,quz
qvc,Cajamarca Quechua,,-7.09314,-78.32141,caja1238,qvc
qvi,Imbabura Highland Quichua,,0.31776,-78.37286,imba1240,qvi
qvn,North Junín Quechua,,-11.21321,-75.81275,nort2980,qvn
qvp,Pacaraos Quechua,,-11.14278,-76.73046,paca1245,qvp
qvs,San Martín Quechua,,-6.9582,-76.6608,sanm1289,qvs
qwh,Huaylas Ancash Quechua,,-9.38709,-77.77681,huay1240,qwh
qxl,Salasaca Highland Quichua,,-1.35447,-78.39531,sala1272,qxl
qxw,Jauja Wanca Quechua,,-11.67473,-75.2786,jauj1238,qxw
ram,Canela,,-6.10712,-45.1299,cane1242,ram
rey,Reyesano,,-14.83332,-67.08332,reye1240,rey
rgr,Resígaro,,-2.48139,-71.35778,resi1247,rgr
rkb,Rikbaktsa,,-11.18865,-58.19424,rikb1245,rkb
rma,Rama,,11.50069,-83.85714,rama1270,rma
rus,Russian,,59,50,russ1263,rus
sae,Sabanê,,-12.98572,-60.33498,saba1268,sae
sar,Saraveca,,-11.94232,-65.39446,sara1331,sar
sey,Secoya,,-0.459785,-75.554725,seco1241,sey
shb,Ninam,,4.038935,-62.780115,nina1238,shb
shp,Shipibo-Conibo,,-7.17105,-74.82192,ship1254,shp
sja,Epena,,4.258768,-77.356568,epen1239,sja
skf,Sakirabia,,-13.05395,-62.09274,saki1248,skf
snn,Siona-Tetete,,0.31733,-76.02367,sion1247,snn
spa,Spanish,,40.4414175,-1.11788,stan1288,spa
tae,Tariana,,0.440205,-68.904165,tari1256,tae
teh,Tehuelche,,-47.57963,-68.32346,tehu1242,teh
ter,Tereno,,-20.66136,-56.03292,tere1279,ter
tfr,Teribe,,9.067,-82.96313,teri1250,tfr
tnq,Taino,,18.283605,-66.8042,tain1254,tnq
tob,Toba,,-24.40253,-60.4472866667,toba1269,tob
tpj,Tapieté,,-21.4168866667,-62.68397,tapi1253,tpj
tpy,Trumai,,-11.81195,-53.5717,trum1247,tpy
tri,Trió,,2.53616,-55.759935,trio1238,tri
trr,Taushiro,,-3.22497,-75.5603,taus1253,trr
tur,Turkish,,39.866667,32.866667,nucl1301,tur
txi,Ikpeng,,-11.37822,-53.49553,ikpe1245,txi
unk,Enawené-Nawé,,-12.43024,-58.9802,enaw1238,unk
ura,Urarina,,-4.44006,-75.42107,urar1246,ura
ure,Uru,,-16.72547,-68.97119,uruu1244,ure
wap,Wapishana,,2.587435,-59.80212,wapi1253,wap
wau,Waurá,,-13.29598,-53.69711,waur1244,wau
wba,Warao,,7.50850666667,-59.3527633333,wara1303,wba
wmd,Mamaindé,,-12.986439,-60.101072,mama1278,wmd
wyr,Wayoró,,-12.69447,-61.30635,wayo1238,wyr
xav,Xavánte,,-14.30173,-52.43669,xava1240,xav
