pk,jsondata,id,name,description,markup_description,parameter_pk,number,abbr
1,"{""icon"": ""c000000""}",ICU17-1,1,Yes,,1,1,
2,"{""icon"": ""c9999ff""}",ICU17-0,0,No,,1,0,
3,"{""icon"": ""cff4400""}",ICU17-?,?,Not known,,1,2,
4,"{""icon"": ""c000000""}",ICU16-1,1,Yes,,2,1,
5,"{""icon"": ""c9999ff""}",ICU16-0,0,No,,2,0,
6,"{""icon"": ""cff4400""}",ICU16-?,?,Not known,,2,2,
7,"{""icon"": ""c000000""}",ICU15-1,1,Yes,,3,1,
8,"{""icon"": ""c9999ff""}",ICU15-0,0,No,,3,0,
9,"{""icon"": ""cff4400""}",ICU15-?,?,Not known,,3,2,
10,"{""icon"": ""c000000""}",ICU14-1,1,Yes,,4,1,
11,"{""icon"": ""c9999ff""}",ICU14-0,0,No,,4,0,
12,"{""icon"": ""cff4400""}",ICU14-?,?,Not known,,4,2,
13,"{""icon"": ""c000000""}",ICU13-1,1,Yes,,5,1,
14,"{""icon"": ""c9999ff""}",ICU13-0,0,No,,5,0,
15,"{""icon"": ""cff4400""}",ICU13-?,?,Not known,,5,2,
16,"{""icon"": ""c000000""}",ICU12-1,1,Yes,,6,1,
17,"{""icon"": ""c9999ff""}",ICU12-0,0,No,,6,0,
18,"{""icon"": ""cff4400""}",ICU12-?,?,Not known,,6,2,
19,"{""icon"": ""c000000""}",ICU11-1,1,Yes,,7,1,
20,"{""icon"": ""c9999ff""}",ICU11-0,0,No,,7,0,
21,"{""icon"": ""cff4400""}",ICU11-?,?,Not known,,7,2,
22,"{""icon"": ""c000000""}",ICU10-1,1,Yes,,8,1,
23,"{""icon"": ""c9999ff""}",ICU10-0,0,No,,8,0,
24,"{""icon"": ""cff4400""}",ICU10-?,?,Not known,,8,2,
25,"{""icon"": ""c000000""}",ARW3-2-11-1,1,Yes,,9,1,
26,"{""icon"": ""c9999ff""}",ARW3-2-11-0,0,No,,9,0,
27,"{""icon"": ""cff4400""}",ARW3-2-11-?,?,Not known,,9,2,
28,"{""icon"": ""c000000""}",ARW3-2-10-1,1,Yes,,10,1,
29,"{""icon"": ""c9999ff""}",ARW3-2-10-0,0,No,,10,0,
30,"{""icon"": ""cff4400""}",ARW3-2-10-?,?,Not known,,10,2,
31,"{""icon"": ""c000000""}",ARW3-2-12-1,1,Yes,,11,1,
32,"{""icon"": ""c9999ff""}",ARW3-2-12-0,0,No,,11,0,
33,"{""icon"": ""cff4400""}",ARW3-2-12-?,?,Not known,,11,2,
34,"{""icon"": ""c000000""}",ICU19-1,1,Yes,,12,1,
