pk,vdoc,representation,featuredomain_pk,designer_pk,dependson,sortkey_str,sortkey_int
1,,14,20,4,,ICU,6120
2,,14,20,4,,ICU,5760
3,,14,20,4,,ICU,5400
4,,14,6,4,,ICU,5040
5,,14,6,4,,ICU,4680
6,,14,6,4,,ICU,4320
7,,14,6,4,,ICU,3960
8,,14,20,4,,ICU,3600
9,,25,17,8,,ARW,1139
10,,28,17,8,,ARW,1138
11,,25,17,8,,ARW,1140
12,,14,20,4,,ICU,6840
13,,14,6,4,,ICU,6480
14,,14,20,4,,ICU,15840
15,,34,17,8,,ARW,402
16,,100,22,2,,NP,3240
17,,100,22,2,,NP,2880
18,,14,20,4,,ICU,16200
19,,65,13,2,,NP,1800
20,,83,13,2,,NP,1440
21,,100,22,2,,NP,2520
22,,80,13,2,,NP,2160
23,,99,14,2,,NP,360
24,,22,17,8,,ARW,401
25,,97,14,2,,NP,720
26,,31,9,6,,FFQ,720
27,,14,20,4,,ICU,14400
28,,14,20,4,,ICU,14760
29,,32,17,8,,ARW,20880
30,,33,17,8,,ARW,21240
31,,32,17,8,,ARW,20160
32,,32,17,8,,ARW,20520
33,,33,17,8,,ARW,19440
34,,14,20,4,,ICU,15480
35,,34,17,8,,ARW,18720
36,,33,17,8,,ARW,19080
37,,34,17,8,,ARW,18000
38,,32,17,8,,ARW,18360
39,,19,17,8,,ARW,1523
40,,30,17,8,,ARW,850
41,,30,17,8,,ARW,1249
42,,22,17,8,,ARW,1251
43,,84,10,3,,ARGEX,456
44,,29,17,8,,ARW,1253
45,,31,17,8,,ARW,1254
46,,14,15,4,,ICS,15120
47,,14,3,4,,ICS,15480
48,,43,3,4,,ICS,14400
49,,14,15,4,,ICS,14760
50,,14,3,4,,ICS,15840
51,,27,17,8,,ARW--a,798
52,,20,17,8,,ARW--b,1252
53,,20,17,8,,ARW--c,1252
54,,19,17,8,,ARW--a,1252
55,,31,17,8,,ARW,1161
56,,36,17,8,,ARW,1160
57,,33,17,8,,ARW,1159
58,,33,17,8,,ARW--a,769
59,,36,17,8,,ARW,396
60,,14,20,4,,ICU,16560
61,,35,17,8,,ARW,394
62,,35,17,8,,ARW,395
63,,23,17,8,,ARW,400
64,,98,19,2,,NP,291600
65,,93,12,2,,NP,262800
66,,33,17,8,,ARW,745
67,,18,17,8,,ARW,750
68,,31,17,8,,ARW,751
69,,33,17,8,,ARW,399
70,,26,17,8,,ARW--a-,1489
71,,14,17,8,,ARW,1856
72,,13,17,8,,ARW,1857
73,,17,17,8,,ARW,1852
74,,9,17,8,,ARW,1853
75,,11,17,8,,ARW,1854
76,,11,17,8,,ARW,1855
77,,16,17,8,,ARW,1849
78,,17,17,8,,ARW,1850
79,,15,17,8,,ARW,1851
80,,51,6,4,,ICU,1080
81,,50,6,4,,ICU,720
82,,51,6,4,,ICU,360
83,,48,6,4,,ICU,2520
84,,49,6,4,,ICU,2160
85,,49,6,4,,ICU,1800
86,,46,6,4,,ICU,1440
87,,19,17,8,,ARW,1513
88,,14,20,4,,ICU,3240
89,,14,20,4,,ICU,2880
90,,26,17,8,,ARW,1516
91,,20,17,8,,ARW,1519
92,,29,17,8,,ARW--a,1469
93,,31,17,8,,ARW--b,1469
94,,91,10,3,,ARGEX,2184
95,,36,17,8,,ARW,4320
96,,28,17,8,,ARW,4680
97,,28,17,8,,ARW,3600
98,,37,17,8,,ARW,3960
99,,21,17,8,,ARW,5760
100,,18,17,8,,ARW,6120
101,,24,17,8,,ARW,5040
102,,17,17,8,,ARW,5400
103,,12,17,8,,ARW,6480
104,,22,17,8,,ARW,6840
105,,84,1,2,"NP1010: Can any temporal or aspectual distinctions, restricted to NP, be marked on the head noun?",NP,365040
106,,82,1,2,"NP1010: Can any temporal or aspectual distinctions, restricted to NP, be marked on the head noun?",NP,365400
107,,90,1,2,,NP,363600
108,,84,1,2,"NP1010: Can any temporal or aspectual distinctions, restricted to NP, be marked on the head noun?",NP,363960
109,,84,1,2,"NP1010: Can any temporal or aspectual distinctions, restricted to NP, be marked on the head noun?",NP,364320
110,,84,1,2,"NP1010: Can any temporal or aspectual distinctions, restricted to NP, be marked on the head noun?",NP,364680
111,,89,21,2,NP210: Is there agreement between adjective (property word) and the noun in the NP?,NP,76320
112,,89,21,2,NP210: Is there agreement between adjective (property word) and the noun in the NP?,NP,76680
113,,95,21,2,,NP,75600
114,,89,21,2,NP210: Is there agreement between adjective (property word) and the noun in the NP?,NP,75960
115,,33,17,8,,ARW--b,749
116,,32,17,8,,ARW--c,749
117,,14,20,4,,ICU,15120
118,,32,17,8,,ARW--a,749
119,,13,3,4,,ICS,11880
120,,33,17,8,,ARW,19800
121,,95,10,3,,ARGEX,432
122,,95,10,3,,ARGEX,408
123,,95,10,3,,ARGEX,384
124,,14,3,4,,ICS,11520
125,,31,17,8,,ARW--a,1130
126,,29,17,8,,ARW--c,1130
127,,31,17,8,,ARW--b,1130
128,,44,15,4,,ICS,11160
129,,46,15,4,,ICS,10800
130,,43,3,4,,ICS,13320
131,,79,10,3,,ARGEX,3264
132,,14,3,4,,ICS,12960
133,,93,10,3,,ARGEX,1056
134,,93,10,3,,ARGEX,1080
135,,92,10,3,,ARGEX,1008
136,,94,10,3,,ARGEX,1032
137,,94,10,3,,ARGEX,960
138,,95,10,3,,ARGEX,984
139,,13,3,4,,ICS,12240
140,,73,24,2,,NP,182160
141,,71,24,2,,NP,182520
142,,74,24,2,,NP,181440
143,,74,24,2,,NP,181800
144,,73,24,2,,NP,180720
145,,72,24,2,,NP,181080
146,,14,3,4,,ICS,12600
147,,100,24,2,,NP,180360
148,,14,3,4,,ICS,14040
149,,14,3,4,,ICS,13680
150,,70,24,2,,NP,182880
151,,35,17,8,,ARW--a,393
152,,33,17,8,,ARW--b,393
153,,27,17,8,,ARW--a,844
154,,34,17,8,,ARW,889
155,,33,17,8,,ARW--a,1225
156,,100,11,2,,NP,144720
157,,35,17,8,,ARW,825
158,,33,17,8,,ARW--a,1109
159,,64,5,1,Is past tense marked morpho-syntactically?,TAME,433
160,,30,17,8,,ARW--d,749
161,,34,17,8,,ARW,890
162,,94,19,2,,NP,295200
163,,95,10,3,,ARGEX,1464
164,,85,10,3,,ARGEX,2544
165,,30,17,8,,ARW--a-,1490
166,,31,9,6,,FFQ,2520
167,,22,17,8,,ARW,1256
168,,37,17,8,,ARW--a,397
169,,31,9,6,,FFQ,2160
170,,101,4,2,,NP,46800
171,,81,16,2,,NP,114120
172,,90,16,2,,NP,113760
173,,87,16,2,,NP,113400
174,,95,16,2,,NP,113040
175,,96,16,2,,NP,112680
176,,96,16,2,,NP,112320
177,,97,16,2,,NP,111960
178,,97,16,2,,NP,111600
179,,31,17,8,,ARW,799
180,,30,17,8,,ARW,797
181,,31,17,8,,ARW,1178
182,,31,9,6,,FFQ,1800
183,,48,3,4,,ICS,2160
184,,28,17,8,,ARW,1180
185,,91,12,2,,NP,259200
186,,93,10,3,,ARGEX,1104
187,,57,5,1,,TAME,936
188,,42,5,1,,TAME,912
189,,31,17,8,,ARW--a,794
190,,61,5,1,,TAME,792
191,,62,5,1,,TAME,768
192,,59,5,1,,TAME,744
193,,59,5,1,,TAME,888
194,,61,5,1,,TAME,864
195,,63,5,1,,TAME,840
196,,61,5,1,,TAME,816
197,,32,17,8,,ARW,24840
