pk,family_pk,representation
1,30,188
2,25,181
3,8,245
4,4,57
5,25,183
6,8,75
7,25,182
8,25,234
9,8,259
10,34,41
11,8,267
12,35,86
13,33,145
14,41,190
15,42,250
16,24,162
17,53,90
18,8,250
19,22,184
20,10,90
21,8,327
22,6,181
23,28,189
24,8,430
25,12,168
26,8,296
27,43,23
28,36,136
29,42,243
30,42,126
31,25,185
32,8,252
33,21,55
34,7,171
35,8,254
36,1,249
37,27,263
38,2,22
39,28,101
40,9,172
41,42,248
42,40,130
43,8,325
44,25,182
45,24,22
46,53,89
47,53,262
48,8,251
49,21,58
50,38,182
51,54,56
52,42,179
53,25,184
54,54,80
55,8,277
56,8,272
57,25,180
58,21,21
59,25,181
60,8,274
61,44,128
62,25,179
63,8,264
64,48,208
65,39,172
66,25,185
67,4,188
68,18,56
69,47,76
70,25,229
71,49,20
72,4,186
73,25,210
74,8,64
75,25,184
76,8,286
77,15,212
78,42,85
79,8,323
80,31,161
81,25,185
82,28,209
83,42,204
84,41,22
85,23,183
86,16,187
87,8,42
88,46,77
89,37,171
90,28,54
91,28,60
92,23,273
93,9,61
94,8,472
95,50,59
96,50,90
97,29,76
98,8,487
99,53,90
100,42,63
101,10,60
102,42,153
103,54,211
104,36,86
105,32,148
106,4,57
107,8,252
108,54,183
109,8,271
110,50,30
111,50,185
112,54,187
113,53,90
114,8,285
115,17,63
116,42,56
117,8,275
118,5,59
119,8,279
120,53,90
121,8,129
122,8,37
123,51,208
124,17,184
125,24,181
126,3,167
127,54,206
128,42,216
129,8,219
130,36,209
131,14,189
132,53,72
133,8,263
134,11,159
135,8,276
136,33,147
137,42,246
138,54,23
139,8,478
140,8,23
141,13,84
142,29,82
143,8,92
144,33,113
145,25,179
146,29,77
147,20,187
148,53,90
149,25,184
150,8,326
151,8,260
152,52,90
153,8,273
154,19,71
155,45,211
156,42,153
157,24,72
158,42,62
159,42,243
160,40,124
161,1,90
162,26,205
163,37,188
164,42,53
165,55,178
166,41,200
167,8,180
