pk,comment,source,provenance,contributed_datapoint
1,,Rose 2011,rik\Subordination_14May2013noPABnoTEH.xlsx,Rik van Gijn
2,,Moore 1984,rik\AllTupi.xlsx,Rik van Gijn
3,,Vilacy Galucio 2001,rik\Subordination_14May2013noPABnoTEH.xlsx,Rik van Gijn
4,,Corrêa da Silva 2010,rik\AllTupi.xlsx,Rik van Gijn
5,,González 2005; Vilacy Galucio 2011,rik\Subordination_14May2013noPABnoTEH.xlsx,Rik van Gijn
6,,Vilacy Galucio 2001,rik\Subordination_14May2013noPABnoTEH.xlsx,Rik van Gijn
7,,González 2005; Vilacy Galucio 2011,rik\Subordination_14May2013noPABnoTEH.xlsx,Rik van Gijn
8,,Rose 2011,rik\Subordination_14May2013noPABnoTEH.xlsx,Rik van Gijn
9,,Vilacy Galucio 2001,rik\Subordination_14May2013noPABnoTEH.xlsx,Rik van Gijn
10,,Storto 2012; Storto 2014,rik\Subordination_14May2013noPABnoTEH.xlsx,Rik van Gijn
11,,Rose 2011,rik\Subordination_14May2013noPABnoTEH.xlsx,Rik van Gijn
12,,Crofts 2004,rik\Subordination_14May2013noPABnoTEH.xlsx,Rik van Gijn
13,,Vilacy Galucio 2001,rik\Subordination_14May2013noPABnoTEH.xlsx,Rik van Gijn
14,,Rose 2011,rik\Subordination_14May2013noPABnoTEH.xlsx,Rik van Gijn
15,,Moore 1984,rik\AllTupi.xlsx,Rik van Gijn
16,,Vilacy Galucio 2001,rik\Subordination_14May2013noPABnoTEH.xlsx,Rik van Gijn
17,"ex. 559, p. 231",González 2005; Vilacy Galucio 2011,rik\Subordination_14May2013noPABnoTEH.xlsx,Rik van Gijn
18,,Gabas 1999,rik\Subordination_14May2013noPABnoTEH.xlsx,Rik van Gijn
19,,Seki 2000,rik\Subordination_14May2013noPABnoTEH.xlsx,Rik van Gijn
20,,Rose 2011,rik\Subordination_14May2013noPABnoTEH.xlsx,Rik van Gijn
21,,Rose 2011,rik\Subordination_14May2013noPABnoTEH.xlsx,Rik van Gijn
22,,Moore 1984,rik\AllTupi.xlsx,Rik van Gijn
23,,Storto 2012; Storto 2014,rik\Subordination_14May2013noPABnoTEH.xlsx,Rik van Gijn
24,,Seki 2000,rik\Subordination_14May2013noPABnoTEH.xlsx,Rik van Gijn
25,,Corrêa da Silva 2010,rik\AllTupi.xlsx,Rik van Gijn
26,,Corrêa da Silva 2010,rik\AllTupi.xlsx,Rik van Gijn
27,,Storto 2012; Storto 2014,rik\Subordination_14May2013noPABnoTEH.xlsx,Rik van Gijn
28,,Storto 2012; Storto 2014,rik\Subordination_14May2013noPABnoTEH.xlsx,Rik van Gijn
29,,Vilacy Galucio 2001,rik\Subordination_14May2013noPABnoTEH.xlsx,Rik van Gijn
30,,Rose 2011,rik\Subordination_14May2013noPABnoTEH.xlsx,Rik van Gijn
31,,Seki 2000,rik\Subordination_14May2013noPABnoTEH.xlsx,Rik van Gijn
32,,Moore 1984,rik\AllTupi.xlsx,Rik van Gijn
33,,Vilacy Galucio 2001,rik\Subordination_14May2013noPABnoTEH.xlsx,Rik van Gijn
34,,Corrêa da Silva 2010,rik\AllTupi.xlsx,Rik van Gijn
35,,Moore 1984,rik\AllTupi.xlsx,Rik van Gijn
36,,Storto 2012; Storto 2014,rik\Subordination_14May2013noPABnoTEH.xlsx,Rik van Gijn
