pk,jsondata,id,name,description,markup_description,unit_pk,unitparameter_pk,contribution_pk,unitdomainelement_pk,frequency
1,{},eme-4-SVC-SUB20-2,N,,,35,54,7,,
2,{},gvo-1-VAUXfin-SUB13-2,N/A,,,15,50,7,,
3,{},skf-3-NomV-SUB7,?,,,9,25,7,,
4,{},mav-2-AttrNom-SUB15-3,?,,,4,62,7,,
5,{},tpj-3-VVcmp-SUB3-1,N/A,,,29,40,7,,
6,{},skf-2-FreeVP-SUB14-1,B,,,21,9,7,,
7,{},tpj-4-suffixing-SUB13-3,N/A,,,6,51,7,,
8,{},eme-2-Rel-SUB27,Y,,,10,44,7,,
9,{},skf-0-NomPP-SUB25,N,,,7,42,7,,
10,{},ktn-2-Rel-SUB18,N,,,27,63,7,,
11,{},eme-3-Suffix-SUB24,N,,,45,43,7,,
12,{},myu-1-FreeSub-SUB16,A,,,14,18,7,,
13,{},skf-6-RelCl-SUB13-2,Y,,,61,50,7,,
14,{},eme-4-SVC-SUB2-1,Y,,,35,8,7,,
15,{},gvo-0-Nom-SUB19,A,,,60,65,7,,
16,{},skf-5-Sim-SUB30,Y,,,23,14,7,,
17,{},tpj-0-Rel-SUB11,Y,,,34,21,7,,
18,{},arr-0-chains-SUB27-1,N,,,24,7,7,,
19,{},kay-0-Compl-SUB24-1,N,,,11,1,7,,
20,{},eme-5-prefix-SUB23-1-1,N,,,18,57,7,,
21,{},eme-5-prefix-SUB16,B,,,18,18,7,,
22,{},gvo-1-VAUXfin-SUB3-1,Y,,,15,40,7,,
23,{},ktn-0-AdvSub-SUB6-1,N/A,,,25,37,7,,
24,{},kay-4-Seq-SUB20-1,Y,,,62,53,7,,
25,{},mav-3-Rea/Cnd-SUB28,N,,,30,41,7,,
26,{},mav-5-Purp-SUB23-1,Y,,,49,5,7,,
27,{},ktn-0-AdvSub-SUB27-2,N,,,25,6,7,,
28,{},ktn-0-AdvSub-SUB24,Y,,,25,43,7,,
29,{},skf-3-NomV-SUB5-1,N/A,,,9,64,7,,
30,{},eme-3-Suffix-SUB30,N,,,45,14,7,,
31,{},kay-9-suf-SUB20,N,,,28,47,7,,
32,{},gvo-0-Nom-SUB23-2,N,,,60,4,7,,
33,{},skf-7-Compl-SUB20,N,,,50,47,7,,
34,{},mav-8-Suffix-SUB1,N,,,48,30,7,,
35,{},gvo-0-Nom-SUB2-1,Y,,,60,8,7,,
36,{},ktn-1-Compl-SUB21,N,,,40,46,7,,
37,{},tpj-5-prefixing-SUB18,Y,,,36,63,7,,
38,{},myu-1-FreeSub-SUB5-1,N/A,,,14,64,7,,
39,{},mav-6-temp-SUB25,N,,,8,42,7,,
40,{},mav-1-PatNom-SUB13-2,Y,,,56,50,7,,
41,{},arr-1-temp-SUB27-1,N,,,26,7,7,,
42,{},ktn-2-Rel-SUB11,N,,,27,21,7,,
43,{},gvo-2-Prefix-SUB7,N,,,38,25,7,,
44,{},eme-2-Rel-SUB31,N,,,10,15,7,,
45,{},skf-8-prtcple-SUB21-1,N,,,46,60,7,,
46,{},kay-0-Compl-SUB21-1,Y,,,11,60,7,,
47,{},skf-10-prtcle-SUB23-1,N,,,58,5,7,,
48,{},skf-7-Compl-SUB34,N,,,50,10,7,,
49,{},gvo-0-Nom-SUB12,Y,,,60,36,7,,
50,{},arr-7-pref-SUB14-2,N/A,,,33,19,7,,
51,{},myu-3-VfinPrt-SUB22,N,,,13,49,7,,
52,{},tpj-0-Rel-SUB34,Y,,,34,10,7,,
53,{},skf-11-prefixing-SUB20-2,N,,,63,54,7,,
54,{},eme-5-prefix-SUB11,N,,,18,21,7,,
55,{},myu-5-Suffix-SUB14-2,N/A,,,16,19,7,,
56,{},tpj-2-AdvSub-SUB29,N,,,53,31,7,,
57,{},eme-5-prefix-SUB24-1,N,,,18,1,7,,
58,{},skf-7-Compl-SUB23-1,N,,,50,5,7,,
59,{},myu-0-Nom-SUB21-2,N,,,3,61,7,,
60,{},tpj-3-VVcmp-SUB27-1,Y,,,29,7,7,,
61,{},arr-1-temp-SUB13-1,A,,,26,52,7,,
62,{},tpj-0-Rel-SUB23-1,N,,,34,5,7,,
63,{},tpj-1-UnmCmp-SUB10,C,,,44,20,7,,
64,{},skf-5-Sim-SUB24,N,,,23,43,7,,
65,{},mav-2-AttrNom-SUB24-1,N,,,4,1,7,,
66,{},eme-1-PrefSub-SUB2,Y,,,57,28,7,,
67,{},arr-6-kana-SUB15,N,,,31,17,7,,
68,{},kay-8-pref-SUB16,B,,,37,18,7,,
69,{},eme-1-PrefSub-SUB13-3,N,,,57,51,7,,
70,{},ktn-0-AdvSub-SUB14-2,N/A,,,25,19,7,,
71,{},ktn-1-Compl-SUB26,?,,,40,45,7,,
72,{},myu-5-Suffix-SUB1-1,N/A,,,16,38,7,,
73,{},myu-1-FreeSub-SUB22,N,,,14,49,7,,
74,{},skf-11-prefixing-SUB2-1,N/A,,,63,8,7,,
75,{},tpj-0-Rel-SUB15-1,Y,,,34,35,7,,
76,{},mav-5-Purp-SUB28,N,,,49,41,7,,
77,{},mav-1-PatNom-SUB18-1,N/A,,,56,32,7,,
78,{},kay-9-suf-SUB1,N,,,28,30,7,,
79,{},mav-5-Purp-SUB15-1,N/A,,,49,35,7,,
80,{},ktn-3-affixing-SUB23,N,,,41,48,7,,
81,{},gvo-0-Nom-SUB26,N,,,60,45,7,,
82,{},skf-7-Compl-SUB14-2,N/A,,,50,19,7,,
83,{},mav-0-Nom-SUB16,A,,,64,18,7,,
84,{},kay-0-Compl-SUB13,Y,,,11,23,7,,
85,{},tpj-5-prefixing-SUB15-1,N/A,,,36,35,7,,
86,{},arr-6-kana-SUB15-3,N/A,,,31,62,7,,
87,{},arr-4-AgNlz-SUB24-2,N,,,20,2,7,,
88,{},tpj-0-Rel-SUB33,Y,,,34,13,7,,
89,{},skf-1-Freesub-SUB20-4,N,,,22,56,7,,
90,{},arr-6-kana-SUB28,N,,,31,41,7,,
91,{},myu-5-Suffix-SUB32,N,,,16,12,7,,
92,{},myu-1-FreeSub-SUB24-2,Y,,,14,2,7,,
93,{},mav-4-pote=FreeSub-SUB7,N,,,47,25,7,,
94,{},skf-2-FreeVP-SUB21-2,Y,,,21,61,7,,
95,{},eme-4-SVC-SUB4,N,,,35,26,7,,
96,{},gvo-2-Prefix-SUB23-3,N,,,38,3,7,,
97,{},kay-1-Rel-SUB27,N,,,5,44,7,,
98,{},skf-2-FreeVP-SUB7,N,,,21,25,7,,
99,{},tpj-1-UnmCmp-SUB27,Y,,,44,44,7,,
100,{},skf-0-NomPP-SUB24-1,Y,,,7,1,7,,
101,{},mav-8-Suffix-SUB20-1,N,,,48,53,7,,
