pk,jsondata,id,description,markup_description,language_pk,parameter_pk,contribution_pk,source
1,{},ICS10-NOCODE_Apolista,,,6,435,4,
2,{},ICS10-NOCODE_Maipure,,,151,435,4,
3,{},ICS10-pnk,,,117,435,4,
4,{},ICS10-aca,,,76,435,4,Wilson 1992 (only where different)
5,{},ICS10-ame,,,24,435,4,
6,{},ICS10-apu,,,94,435,4,
7,{},ICS10-arh,,,47,435,4,Constenla Umaña 1991:190-204
8,{},ICS10-arw,,,43,435,4,Patte 2002
9,{},ICS10-bae,,,55,435,4,
10,{},ICS10-brg,,,98,435,4,
11,{},ICS10-bvv,,,3,435,4,Constenla
12,{},ICS10-cab,,,129,435,4,
13,{},ICS10-ccc,,,167,435,4,
14,{},ICS10-cni,,,60,435,4,
15,{},ICS10-cox,,,79,435,4,
16,{},ICS10-crb,,,32,435,4,
17,{},ICS10-cuj,,,18,435,4,
18,{},ICS10-cuk,,,17,435,4,Constenla Umaña 1991:190-204
19,{},ICS10-emp,,,36,435,4,Constenla Umaña 1991:190-204
20,{},ICS10-gae,,,119,435,4,
21,{},ICS10-gqn,,,121,435,4,
22,{},ICS10-guc,,,21,435,4,Constenla Umaña 1991:190-204
23,{},ICS10-gym,,,113,435,4,Constenla Umaña 1991:190-204
24,{},ICS10-ign,,,153,435,4,
25,{},ICS10-inp,,,135,435,4,
26,{},ICS10-jic,,,12,435,4,Constenla Umaña 1991:190-204
27,{},ICS10-kpc,,,35,435,4,Constenla
28,{},ICS10-kwi,,,92,435,4,Constenla Umaña 1991:190-204
29,{},ICS10-mbp,,,99,435,4,Constenla Umaña 1991:190-204
30,{},ICS10-mcb,,,114,435,4,
31,{},ICS10-miq,,,152,435,4,Constenla Umaña 1991:190-204
32,{},ICS10-mmh,,,74,435,4,
33,{},ICS10-not,,,26,435,4,
34,{},ICS10-pab,,,150,435,4,
35,{},ICS10-pay,,,148,435,4,Constenla Umaña 1991:190-204
36,{},ICS10-pbb,,,37,435,4,Constenla Umaña 1991:190-204
37,{},ICS10-pio,,,133,435,4,
38,{},ICS10-plu,,,63,435,4,
39,{},ICS10-rgr,,,11,435,4,
40,{},ICS10-rma,,,46,435,4,Constenla Umaña 1991:190-204
41,{},ICS10-sar,,,143,435,4,
42,{},ICS10-sja,,,161,435,4,Constenla Umaña 1991:190-204
43,{},ICS10-tae,,,139,435,4,
44,{},ICS10-ter,,,48,435,4,
45,{},ICS10-tfr,,,120,435,4,Constenla Umaña 1991:190-204
46,{},ICS10-tnq,,,122,435,4,
47,{},ICS10-unk,,,87,435,4,
48,{},ICS10-wap,,,109,435,4,Constenla
49,{},ICS10-wau,,,107,435,4,
50,{},ICS10-ycn,,,56,435,4,
51,{},ICS10-yvt,,,9,435,4,
52,{},ICS11-arh,,,47,434,4,
53,{},ICS11-cuk,,,17,434,4,
54,{},ICS11-emp,,,36,434,4,
55,{},ICS11-guc,,,21,434,4,
56,{},ICS11-gym,,,113,434,4,
57,{},ICS11-jic,,,12,434,4,
58,{},ICS11-kwi,,,92,434,4,
59,{},ICS11-mbp,,,99,434,4,
60,{},ICS11-miq,,,152,434,4,
61,{},ICS11-pay,,,148,434,4,
62,{},ICS11-pbb,,,37,434,4,
63,{},ICS11-rma,,,46,434,4,
64,{},ICS11-sja,,,161,434,4,
65,{},ICS11-tfr,,,120,434,4,
66,{},ICS12-arh,,,47,437,4,
67,{},ICS12-cuk,,,17,437,4,
68,{},ICS12-emp,,,36,437,4,
69,{},ICS12-guc,,,21,437,4,
70,{},ICS12-gym,,,113,437,4,
71,{},ICS12-jic,,,12,437,4,
72,{},ICS12-kwi,,,92,437,4,
73,{},ICS12-mbp,,,99,437,4,
74,{},ICS12-miq,,,152,437,4,
75,{},ICS12-pay,,,148,437,4,
76,{},ICS12-pbb,,,37,437,4,
77,{},ICS12-rma,,,46,437,4,
78,{},ICS12-sja,,,161,437,4,
79,{},ICS12-tfr,,,120,437,4,
80,{},ICS13-NOCODE_Apolista,,,6,436,4,
81,{},ICS13-NOCODE_Maipure,,,151,436,4,
82,{},ICS13-pnk,,,117,436,4,
83,{},ICS13-aca,,,76,436,4,Wilson 1992 (only where different)
84,{},ICS13-ame,,,24,436,4,
85,{},ICS13-apu,,,94,436,4,
86,{},ICS13-arh,,,47,436,4,Constenla Umaña 1991:190-204
87,{},ICS13-arw,,,43,436,4,Patte 2002
88,{},ICS13-bae,,,55,436,4,
89,{},ICS13-brg,,,98,436,4,
90,{},ICS13-bvv,,,3,436,4,Constenla
91,{},ICS13-cab,,,129,436,4,
92,{},ICS13-ccc,,,167,436,4,
93,{},ICS13-cni,,,60,436,4,
94,{},ICS13-cox,,,79,436,4,
95,{},ICS13-crb,,,32,436,4,
96,{},ICS13-cuj,,,18,436,4,
97,{},ICS13-cuk,,,17,436,4,Constenla Umaña 1991:190-204
98,{},ICS13-emp,,,36,436,4,Constenla Umaña 1991:190-204
99,{},ICS13-gae,,,119,436,4,
100,{},ICS13-gqn,,,121,436,4,
101,{},ICS13-guc,,,21,436,4,Constenla Umaña 1991:190-204
102,{},ICS13-gym,,,113,436,4,Constenla Umaña 1991:190-204
103,{},ICS13-ign,,,153,436,4,
104,{},ICS13-inp,,,135,436,4,
105,{},ICS13-jic,,,12,436,4,Constenla Umaña 1991:190-204
106,{},ICS13-kpc,,,35,436,4,Constenla
107,{},ICS13-kwi,,,92,436,4,Constenla Umaña 1991:190-204
108,{},ICS13-mbp,,,99,436,4,Constenla Umaña 1991:190-204
109,{},ICS13-mcb,,,114,436,4,
110,{},ICS13-miq,,,152,436,4,Constenla Umaña 1991:190-204
111,{},ICS13-mmh,,,74,436,4,
112,{},ICS13-not,,,26,436,4,
113,{},ICS13-pab,,,150,436,4,
114,{},ICS13-pay,,,148,436,4,Constenla Umaña 1991:190-204
115,{},ICS13-pbb,,,37,436,4,Constenla Umaña 1991:190-204
116,{},ICS13-pio,,,133,436,4,
117,{},ICS13-plu,,,63,436,4,
118,{},ICS13-rgr,,,11,436,4,
119,{},ICS13-rma,,,46,436,4,Constenla Umaña 1991:190-204
120,{},ICS13-sar,,,143,436,4,
121,{},ICS13-sja,,,161,436,4,Constenla Umaña 1991:190-204
122,{},ICS13-tae,,,139,436,4,
123,{},ICS13-ter,,,48,436,4,
124,{},ICS13-tfr,,,120,436,4,Constenla Umaña 1991:190-204
125,{},ICS13-tnq,,,122,436,4,
126,{},ICS13-unk,,,87,436,4,
127,{},ICS13-wap,,,109,436,4,Constenla
128,{},ICS13-wau,,,107,436,4,
129,{},ICS13-ycn,,,56,436,4,
130,{},ICS13-yvt,,,9,436,4,
131,{},ICS14-NOCODE_Apolista,,,6,431,4,
132,{},ICS14-NOCODE_Maipure,,,151,431,4,
133,{},ICS14-pnk,,,117,431,4,
134,{},ICS14-aca,,,76,431,4,Wilson 1992 (only where different)
135,{},ICS14-ame,,,24,431,4,
136,{},ICS14-apu,,,94,431,4,
137,{},ICS14-arh,,,47,431,4,Constenla Umaña 1991:190-204
138,{},ICS14-arw,,,43,431,4,Patte 2002
139,{},ICS14-bae,,,55,431,4,
9575,{},NP5-qub,,,73,19,2,
140,{},ICS14-brg,,,98,431,4,
141,{},ICS14-bvv,,,3,431,4,Constenla
142,{},ICS14-cab,,,129,431,4,
143,{},ICS14-ccc,,,167,431,4,
144,{},ICS14-cni,,,60,431,4,
145,{},ICS14-cox,,,79,431,4,
146,{},ICS14-crb,,,32,431,4,
147,{},ICS14-cuj,,,18,431,4,
148,{},ICS14-cuk,,,17,431,4,Constenla Umaña 1991:190-204
149,{},ICS14-emp,,,36,431,4,Constenla Umaña 1991:190-204
150,{},ICS14-gae,,,119,431,4,
151,{},ICS14-gqn,,,121,431,4,
152,{},ICS14-guc,,,21,431,4,Constenla Umaña 1991:190-204
153,{},ICS14-gym,,,113,431,4,Constenla Umaña 1991:190-204
154,{},ICS14-ign,,,153,431,4,
155,{},ICS14-inp,,,135,431,4,
156,{},ICS14-jic,,,12,431,4,Constenla Umaña 1991:190-204
157,{},ICS14-kpc,,,35,431,4,Constenla
158,{},ICS14-kwi,,,92,431,4,Constenla Umaña 1991:190-204
159,{},ICS14-mbp,,,99,431,4,Constenla Umaña 1991:190-204
160,{},ICS14-mcb,,,114,431,4,
161,{},ICS14-miq,,,152,431,4,Constenla Umaña 1991:190-204
162,{},ICS14-mmh,,,74,431,4,
